
--- vl_despesa ---vl_despesa
165,00        1287
70,00          880
1000,00        717
280,00         604
3000,00        593
1200,00        497
35,00          497
9450,00        489
296,16         426
1500,00        366
471,06         346
2200,00        334
400,00         296
500,00         289
2000,00        254
592,32         247
110,96         245
300,00         240
732,96         234
128,02         210
480,00         199
800,00         194
600,00         191
240,00         179
700,00         175
200,00         169
812,00         165
1400,00        153
350,00         146
840,00         143
315,00         141
560,00         138
888,48         136
607,20         135
460,49         135
-10,00         130
2500,00        126
384,00         126
900,00         125
120,00         125
6000,00        124
250,00         124
1800,00        124
2100,00        121
-9,00          121
180,00         119
303,60         117
80,00          116
230,00         112
5000,00        111
540,00         110
450,00         106
107,91         105
140,00         105
750,00         105
440,00         104
720,00         100
4000,00        100
132,00          97
550,00          96
2400,00         94
320,00          91
288,00          90
1300,00         90
814,40          90
880,00          90
100,00          88
360,00          87
150,00          87
210,00          85
1600,00         85
507,50          84
420,00          82
1265,00         81
160,00          80
8000,00         79
81,44           79
2450,90         78
0,00            78
60,00           78
660,00          76
1100,00         75
406,00          75
10,00           75
102,00          74
780,00          73
569,71          72
456,75          72
650,00          72
960,00          71
4500,00         71
942,12          71
2800,00         70
2125,20         69
640,00          68
7018,29         68
630,00          68
260,00          67
950,00          67
9,00            67
595,00          66
2110,99         66
1050,00         65
651,52          63
90,00           62
3500,00         62
1406,76         61
270,00          61
490,00          61
1320,00         58
4103,05         57
32,50           56
110,00          55
220,00          55
1225,45         54
1440,00         52
290,00          52
4577,70         51
1328,94         50
3600,00         50
196,07          50
2700,00         50
99,00           49
1950,00         49
525,00          49
1650,00         49
4800,00         49
3300,00         48
151,80          48
1080,00         48
10000,00        47
330,00          46
103,86          45
6679,20         45
620,00          45
380,00          45
520,00          45
1875,00         44
4519,02         44
525,62          44
12000,00        44
1350,00         43
390,00          43
990,00          43
850,00          42
1180,33         42
1075,00         42
1184,64         42
221,92          42
112,35          42
980,00          41
7750,00         40
768,00          39
-23,00          39
1062,47         39
407,20          39
96,00           39
3150,00         39
6982,80         39
310,00          38
1980,00         38
1250,00         38
530,00          38
54372,89        37
1916,42         37
576,00          37
1787,32         36
674,15          36
53,90           36
108,88          36
1056,00         36
8795,04         36
39900,00        36
460,00          36
5889,31         36
4600,00         36
980,42          36
232,55          36
137463,05       36
167389,71       36
864,00          36
10007,34        36
1214,40         35
759,00          35
4200,00         35
49,70           35
1150,00         35
110,"00         34
138,56          34
1170,00         34
1120,00         34
1700,00         34
2880,00         33
1348,95         33
910,80          33
325,76          33
3462,28         33
1184,06         33
2654,20         33
3120,00         33
50,00           33
1260,00         33
198,00          33
920,98          33
2655,06         33
192,00          33
18358,10        33
2163,93         33
101683,23       33
5187,00         33
40,00           32
930,00          32
3000,64         32
580,00          32
3900,00         32
570,00          32
2144,60         32
408,00          31
2247,18         31
680,00          31
6644,70         30
2177,56         30
1190,00         30
624,00          30
628,39          30
275,00          30
138,52          30
5716,22         30
528,00          30
4332,77         30
28900,00        30
5768,40         30
3960,00         30
870,00          30
641,69          30
6200,00         29
175,00          29
561,79          29
470,00          29
9600,00         29
125,00          29
276,57          29
1550,00         28
1030,00         28
565,76          28
1920,00         28
282,88          27
1152,00         27
77,79           27
3329,85         27
325,75          27
312,00          27
5643,25         27
2829,40         27
2369,76         27
3288,46         27
4558,95         27
760,00          27
552,00          27
5097,97         27
170,00          27
5372,62         27
1344,00         27
7790,13         27
744,00          27
168,53          27
3140,50         26
264,00          26
1850,00         26
4650,00         26
26500,00        26
1740,00         26
324,00          26
2850,00         26
17990,00        26
751,11          25
2870,91         25
245,00          25
752,00          25
2250,00         25
1301,33         25
590,00          25
1750,00         25
2600,00         25
5400,00         25
10800,00        25
1010,00         25
430,00          25
456,00          25
6400,00         25
648,00          24
20773,68        24
2192,21         24
5300,00         24
18294,19        24
1799,00         24
382,43          24
408,48          24
1334,23         24
644,00          24
15907,24        24
2240,00         24
6756,46         24
1635,90         24
9000,00         24
1480,80         24
2764,58         24
6600,00         24
1290,00         24
488,64          24
30303,03        24
30000,00        24
30,00           24
1900,00         24
1040,00         24
1215,79         24
572,00          24
1663,82         24
1760,00         24
2126,60         24
7065,15         24
675,00          23
1450,00         23
176113,39       23
920,00          23
23700,00        23
910,00          23
486,00          23
628,10          23
795,00          23
110000,00       23
340,00          23
2048,32         22
1085,11         22
216,00          22
256,04          22
23,00           22
3749,41         22
2170,00         22
2526,37         22
1507,00         22
5200,00         22
594,00          22
340,87          22
3100,00         22
1248,00         22
265,00          22
1363,31         22
1920,30         22
379,81          21
1124,12         21
517,44          21
342,00          21
137030,35       21
510,00          21
2760,00         21
3200,00         21
2798,96         21
9500,00         21
190,00          21
1291,87         21
11000,00        21
11640,00        21
2024,49         21
8500,00         21
144,00          21
5277,48         21
210120,00       21
59090,39        21
162,88          21
3257,46         21
816,00          21
7483,50         21
1065,00         21
1415,72         21
2150,24         21
810,00          21
45,00           21
290,40          20
3197,99         20
4390,26         20
2160,00         20
7000,00         20
2640,00         20
1230,00         20
695,00          20
15180,00        20
768,12          20
6500,00         20
129,20          20
504,00          20
266,59          20
684,00          20
208,00          20
378,00          20
495,00          20
2811,86         20
735,00          20
2488,00         20
2105,11         20
653,75          20
7200,00         20
31400,00        20
2711,00         20
1280,00         20
3370,20         20
4230,00         20
1037,50         20
555,30          19
4620,00         19
4250,00         19
52576,00        19
786,51          19
1458,00         19
9595,29         19
128,00          19
1343,68         19
168,00          19
7500,00         19
1692,00         19
1020,00         19
20,00           19
6300,00         19
285,93          18
2490,00         18
769,98          18
2719,20         18
5500,00         18
333,18          18
2456,78         18
885,25          18
625,00          18
1200,83         18
1257,52         18
108,00          18
5650,00         18
2300,00         18
284,86          18
343,49          18
138,00          18
9300,00         18
875,00          18
298,80          18
593310,00       18
1321,97         18
1489,53         18
29213,02        18
404,80          18
1397,87         18
16008,00        18
54550,87        18
6375,60         18
3206,46         18
57738,00        18
3190,77         18
1830,47         18
666,36          18
4495,07         18
5315,76         18
622,74          18
105105,02       18
432,00          18
0,01            18
623331,50       18
80,"00          18
1070,00         18
730,00          18
365,00          18
57738,"00       18
757,74          18
81,55           18
1413,18         18
3975,00         18
8528,61         18
1257,54         18
15989,95        18
2809,35         18
700,13          18
2561,18         18
284,17          18
466629,11       18
2550,00         18
1599,00         18
1633,93         18
223,91          18
848,64          18
204,00          18
3339,60         18
921,72          18
4244,20         17
2778,07         17
945,00          17
2063,00         17
2150,00         17
104,00          17
1670,16         17
6960,00         17
999,00          17
460,95          17
455,53          17
972,00          17
319,00          17
162,00          17
224,00          17
3850,00         17
1218,00         17
1610,00         17
370,00          16
14728,93        16
1584,00         16
3194,00         16
75,00           16
465,00          16
399,21          16
3333,33         16
135,00          16
22497,22        16
26924,00        16
3236,37         16
820,00          16
3986,82         16
372,00          16
855,00          16
1884,46         16
2320,00         16
1518,00         16
3680,00         16
16344,36        16
1724,74         16
3750,00         16
5404,43         16
5537,58         16
672,00          16
400663,30       16
8400,00         16
9440,51         16
936,00          16
3135,00         16
5027,17         15
202,40          15
3936,99         15
410,00          15
18284,10        15
254,00          15
11923,86        15
7250,00         15
396,00          15
28083,00        15
650,73          15
455,40          15
5265,30         15
448,00          15
7631,72         15
4081,00         15
860,00          15
116,60          15
2385,07         15
372,47          15
2798,00         15
59,01           15
59096,70        15
124,00          15
2560,00         15
1476,00         15
15000,00        15
145,00          15
101,20          15
5040,00         15
1068,25         15
815,20          15
861,64          15
1370,00         15
1823,58         15
414,00          15
1139,42         15
825,51          15
1990,00         15
316,44          15
130,00          15
156,00          15
371,99          15
452,75          15
2638,74         15
854,60          15
449,43          15
1115,93         15
1624,00         15
406,56          15
2735,38         15
-2200,00        15
3700,00         15
237,33          15
5100,00         15
210120,"00      15
282,40          15
4302,90         14
790,85          14
789,00          14
882,47          14
332,88          14
10762,50        14
3450,00         14
18500,00        14
